brand,supplier_ref,normalized_ref,name,normalized_name,category,image_url,pdf_url,source_url
orkli,V-04227,V04227,"ACC.EUROCONO T.PEX/PER D20x1,9 Suelo Radiante","acc.eurocono t.pex/per d20x1,9 suelo radiante",radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-04228,V04228,ACC.EUROCONO T.MULTI D16x2 Suelo Radiante,acc.eurocono t.multi d16x2 suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-05001,V05001,CAB.TERMOELECTRICA NC230V.M30x1.5 C/MIC Suelo Radiante,cab.termoelectrica nc230v.m30x1.5 c/mic suelo radiante,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-14644,V14644,REPUESTO GRAPAS UNIÓN MÓDULOS,repuesto grapas union modulos,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-14645,V14645,REPUESTO TERMÓMETRO COLECTOR,repuesto termometro colector,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-14827,V14827,"REPUESTO GRAPAS UNIÓN TOMA RC, ATM,","repuesto grapas union toma rc, atm,",radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-00625,V00625,DEPOSITO ADICIONAL DRAIN Sistemas Solares GHS - Grupos,deposito adicional drain sistemas solares ghs - grupos,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-10474,V10474,ESTRUCTURA TERRAZA PLANA Sistemas Solares OKSOL - Sistema Oksol,estructura terraza plana sistemas solares oksol - sistema oksol,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-10857,V10857,RESISTENCIA OPCIONAL PARA,resistencia opcional para,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
orkli,V-10877,V10877,RESISTENCIA OPCIONAL PARA,resistencia opcional para,radiador,,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7,https://www.orkli.com/documents/26715/76863/ORKLI%2BTARIFA%2B2025/eb336f3b-6f15-48c4-a766-4333dc7d33a7
